Date,regime,XLRE_return,position,strategy_return,benchmark_return,strategy_cumulative,benchmark_cumulative
2016-10-31,,,0,,,,
2016-11-30,,-0.030371138952789867,0,-0.0,-0.030371138952789867,1.0,0.9696288610472101
2016-12-31,,0.043465907072272714,0,0.0,0.043465907072272714,1.0,1.0117746590160819
2017-01-31,,-0.001300802313674243,0,-0.0,-0.001300802313674243,1.0,1.0104585401987167
2017-02-28,,0.04656491882055214,0,0.0,0.04656491882055214,1.0,1.0575104600946037
2017-03-31,Rising,-0.010530479938592685,0,-0.0,-0.010530479938592685,1.0,1.0463743674097254
2017-04-30,Rising,0.0015825151825661354,1,0.0015825151825661354,0.0015825151825661354,1.0015825151825661,1.0480302707327993
2017-05-31,Rising,0.0066348915976612854,1,0.0066348915976612854,0.0066348915976612854,1.0082279065969153,1.054983837970179
2017-06-30,Rising,0.019141195566125146,1,0.019141195566125146,0.019141195566125146,1.0275265941323117,1.0751774899318676
2017-07-31,Rising,0.01211176770212985,1,0.01211176770212985,0.01211176770212985,1.039971757548203,1.0881997899284814
2017-08-31,Rising,0.01012563521198695,1,0.01012563521198695,0.01012563521198695,1.0505021321959052,1.099218504039058
2017-09-30,Falling,-0.013637962576951934,1,-0.013637962576951934,-0.013637962576951934,1.0361754234300091,1.0842274032170802
2017-10-31,Falling,0.008064409261330452,0,0.0,0.008064409261330452,1.0361754234300091,1.0929710567289723
2017-11-30,Rising,0.0292307043011657,0,0.0,0.0292307043011657,1.0361754234300091,1.1249193704979494
2017-12-31,Rising,-0.0043826716079558015,1,-0.0043826716079558015,-0.0043826716079558015,1.0316342068208808,1.1199892183116285
2018-01-31,Rising,-0.019125515801818094,1,-0.019125515801818094,-0.019125515801818094,1.011903670496632,1.0985688468189434
2018-02-28,Rising,-0.06809048004886353,1,-0.06809048004886353,-0.06809048004886353,0.9430026638093093,1.0237667666723151
2018-03-31,Rising,0.03828971584858665,1,0.03828971584858665,0.03828971584858665,0.979109967851028,1.0629665052634243
2018-04-30,Rising,-0.006113476436414467,1,-0.006113476436414467,-0.006113476436414467,0.9731242021339123,1.0564680845807985
2018-05-31,Rising,0.02233729463623546,1,0.02233729463623546,0.02233729463623546,0.994861164154629,1.080066723459859
2018-06-30,Rising,0.0446159768014347,1,0.0446159768014347,0.0446159768014347,1.0392478667752003,1.1282549553377457
2018-07-31,Falling,0.010394390631949024,1,0.010394390631949024,0.010394390631949024,1.0500502150658815,1.1399824780759584
2018-08-31,Falling,0.024205750649429092,0,0.0,0.024205750649429092,1.0500502150658815,1.1675766096849833
2018-09-30,Falling,-0.0264607316829375,0,-0.0,-0.0264607316829375,1.0500502150658815,1.1366816782968352
2018-10-31,Falling,-0.015946083794092458,0,-0.0,-0.015946083794092458,1.0500502150658815,1.1185560570075042
2018-11-30,Falling,0.054845626442469264,0,0.0,0.054845626442469264,1.0500502150658815,1.179903964665099
2018-12-31,Falling,-0.07344345511303041,0,-0.0,-0.07344345511303041,1.0500502150658815,1.0932477407985313
2019-01-31,Falling,0.10741950329340333,0,0.0,0.10741950329340333,1.0500502150658815,1.2106838700917448
2019-02-28,Falling,0.011068939602193018,0,0.0,0.011068939602193018,1.0500502150658815,1.2240848567271396
2019-03-31,Falling,0.0494818906606469,0,0.0,0.0494818906606469,1.0500502150658815,1.2846548897670655
2019-04-30,Falling,-0.005245878436919593,0,-0.0,-0.005245878436919593,1.0500502150658815,1.2779157463819533
2019-05-31,Falling,0.01221257755113303,0,0.0,0.01221257755113303,1.0500502150658815,1.2935223915384568
2019-06-30,Falling,0.016223380674261545,0,0.0,0.016223380674261545,1.0500502150658815,1.3145076977070664
2019-07-31,Falling,0.017405627739524032,0,0.0,0.017405627739524032,1.0500502150658815,1.3373875293540944
2019-08-31,Falling,0.0481156374078171,0,0.0,0.0481156374078171,1.0500502150658815,1.4017367827902325
2019-09-30,Falling,0.010031771271778789,0,0.0,0.010031771271778789,1.0500502150658815,1.4157986855784233
2019-10-31,Falling,-0.0002543566438596434,0,-0.0,-0.0002543566438596434,1.0500502150658815,1.4154385677763786
2019-11-30,Falling,-0.017289492445418997,0,-0.0,-0.017289492445418997,1.0500502150658815,1.3909663533518541
2019-12-31,Falling,0.011406533811019193,0,0.0,0.011406533811019193,1.0500502150658815,1.406832458091352
2020-01-31,Falling,0.014481615500282707,0,0.0,0.014481615500282707,1.0500502150658815,1.4272056648227487
2020-02-29,Rising,-0.062197260139132404,0,-0.0,-0.062197260139132404,1.0500502150658815,1.3384373828157248
2020-03-31,Falling,-0.15106592570774413,1,-0.15106592570774413,-0.15106592570774413,0.8914234072873383,1.136245100578817
2020-04-30,Falling,0.09419343226649546,0,0.0,0.09419343226649546,0.8914234072873383,1.2432719264983252
2020-05-31,Falling,0.021521388016396026,0,0.0,0.021521388016396026,0.8914234072873383,1.2700288640383879
