lag,f_statistic,pvalue
1,0.3600498194674802,0.5497964326396219
2,0.17403360431849638,0.8405226078954067
3,0.13471899700558115,0.9391274945500623
4,0.18510665722011638,0.9456239934445155
5,0.32044999509881034,0.8995164184468876
6,0.7955422545411135,0.5759005829225253
