sector,phase,lag,mean_return,std_return,sharpe_ratio,n_periods,pct_positive
XLK,Overheat,0,0.014291546554441011,0.0631121597488878,0.7844347222316055,96,0.6458333333333334
XLK,Stagflation,0,-0.011214860337575959,0.07044136261889435,-0.5515142575978609,43,0.3953488372093023
XLK,Unknown,0,-0.0024216037329889474,0.0689250262898787,-0.1217073370039826,58,0.5344827586206896
XLK,Reflation,0,0.021130035359823208,0.06188878585754699,1.1827116755265206,76,0.7105263157894737
XLK,Recovery,0,0.013486527631925085,0.06188527400912382,0.7549243806444784,50,0.58
XLK,Overheat,1,0.0096091987314503,0.06284567983671063,0.529666333983267,97,0.5979381443298969
XLK,Stagflation,1,-0.0007650503551033844,0.07726364287260369,-0.03430089589673055,43,0.5348837209302325
XLK,Unknown,1,-0.0049623963295788,0.06871953536426757,-0.25015077661869756,58,0.4482758620689655
XLK,Reflation,1,0.02617398839008026,0.05770045585291086,1.5713802277023048,76,0.7105263157894737
XLK,Recovery,1,0.008753189488331986,0.06223387834290606,0.48722558599136373,49,0.6530612244897959
XLF,Overheat,0,0.0042435392665804835,0.053503197919497904,0.27475088964551164,96,0.53125
XLF,Stagflation,0,-0.007765465616647239,0.0572683525679144,-0.46972473938417075,43,0.46511627906976744
XLF,Unknown,0,0.010388868296417154,0.05809956811600516,0.6194210492789901,58,0.5
XLF,Reflation,0,0.008713938012030745,0.08134938478426562,0.37106570408292094,76,0.631578947368421
XLF,Recovery,0,0.0167596769898997,0.04012479992873081,1.4469162271966256,50,0.68
XLF,Overheat,1,0.0038918147061922062,0.05555198651272486,0.2426851397375169,97,0.5257731958762887
XLF,Stagflation,1,-0.01245144132938505,0.0760652873943531,-0.5670531131539224,43,0.3953488372093023
XLF,Unknown,1,0.005397158226700243,0.052048305616374746,0.3592106276824571,58,0.5172413793103449
XLF,Reflation,1,0.015497617710818718,0.07243379528423624,0.7411640151143388,76,0.6842105263157895
XLF,Recovery,1,0.017210491329989558,0.04029621547703407,1.4795158827634722,49,0.6530612244897959
XLV,Overheat,0,0.009400871859450738,0.03606598181300974,0.9029443745873375,96,0.625
XLV,Stagflation,0,0.0008159554595568654,0.0397296673920453,0.07114463349112608,43,0.5348837209302325
XLV,Unknown,0,-0.0016871820844542862,0.03717102147094362,-0.1572345863123036,58,0.5172413793103449
XLV,Reflation,0,0.01166163539500539,0.04980852555457718,0.811047698304602,76,0.618421052631579
XLV,Recovery,0,0.013677749485250195,0.0389869081485445,1.2153083261380315,50,0.68
XLV,Overheat,1,0.007037547965168064,0.03750144880210269,0.6500757184448085,97,0.5876288659793815
