target,target_name,indicator,indicator_name,correlation_yoy,correlation_pval,optimal_lag,lag_correlation,granger_lag,granger_pval,granger_significant,ml_ridge_r2,ml_lasso_r2,ml_rf_r2,rising_sharpe,rising_mean,falling_sharpe,falling_mean,recession_sharpe,plot_path
SPY,S&P 500,orders_inv_ratio,Orders/Inventories Ratio,0.002091861281503002,0.9701264940442947,-5,-0.08089519784540397,3,0.5337150036576297,False,-0.3990868826650847,-0.3000594866336138,-0.2613455904481578,0.8134302904136106,0.8967961920169746,0.44235933191760834,0.621905462700213,-0.641746697123331,/home/david/knows/rlic/data/bulk_analysis/SPY_orders_inv_ratio_regime.png
SPY,S&P 500,ppi_yoy,PPI YoY,-0.016992643267218596,0.7609502444280275,-9,0.14213949317411811,1,0.1322911035392004,False,-0.5832707594598843,-0.2962680113135078,-0.17739255448071684,0.175943689011552,0.20752053124900585,0.7579598812228724,0.9703509354183103,-0.641746697123331,/home/david/knows/rlic/data/bulk_analysis/SPY_ppi_yoy_regime.png
XLK,Technology,orders_inv_ratio,Orders/Inventories Ratio,-0.055628841709757786,0.3189253597823151,-11,-0.08294554558847608,3,0.2918715305223856,False,-0.5811502002562376,-0.4974879610809834,-0.4319968955214506,0.571183311835942,1.0375892407582086,0.4219997318877814,0.8276598198170865,-0.2640683053021298,/home/david/knows/rlic/data/bulk_analysis/XLK_orders_inv_ratio_regime.png
XLK,Technology,ppi_yoy,PPI YoY,-0.014648790961378687,0.793117594035284,-10,0.13876790152198706,1,0.2618077359091753,False,-1.1498837344423638,-0.8175508489245173,-0.3637244651889131,-0.008915388193508494,-0.016735120240588916,0.6848448621726172,1.2883822880506726,-0.2640683053021298,/home/david/knows/rlic/data/bulk_analysis/XLK_ppi_yoy_regime.png
XLF,Financials,orders_inv_ratio,Orders/Inventories Ratio,0.04700885277287261,0.39976401828222113,-5,-0.09589800022625657,4,0.30426261031148755,False,-0.4779091261437044,-0.39101744481461786,-0.25993111163458094,0.5311047079808237,0.7796504912799515,0.2754363268568972,0.5588615016662913,-0.7909807023371938,/home/david/knows/rlic/data/bulk_analysis/XLF_orders_inv_ratio_regime.png
XLF,Financials,ppi_yoy,PPI YoY,-0.03919404605688262,0.482715245002458,-9,0.13936231089356874,6,0.4959495540294403,False,-0.6397274364074922,-0.4481951070459266,-0.10969339025244185,-0.19674096178349146,-0.30356209114156985,0.567537750711201,1.0339606661975578,-0.7909807023371938,/home/david/knows/rlic/data/bulk_analysis/XLF_ppi_yoy_regime.png
XLV,Health Care,orders_inv_ratio,Orders/Inventories Ratio,-0.00030672011944465476,0.9956187863197209,-5,-0.07295136084289121,6,0.4460857557920146,False,-0.19706654917074382,-0.0878347549112835,-0.10641583310210781,0.8216452590840724,0.8848437318962794,0.4578172359987341,0.5899819235053837,-0.2528141996193382,/home/david/knows/rlic/data/bulk_analysis/XLV_orders_inv_ratio_regime.png
XLV,Health Care,ppi_yoy,PPI YoY,0.03809075673923669,0.4951325227128576,-1,-0.12579160976442932,1,0.025862319633713722,True,-0.3762896062918996,-0.17575370165802012,-0.16809720046823456,0.4263797650175024,0.4779963119214733,0.6980587321847945,0.841166381206531,-0.2528141996193382,/home/david/knows/rlic/data/bulk_analysis/XLV_ppi_yoy_regime.png
XLE,Energy,orders_inv_ratio,Orders/Inventories Ratio,0.07153580563500385,0.1997321930326653,-10,0.08771975614301028,1,0.2524865505626685,False,-0.17749942133799612,-0.12326499976553693,-0.11967587648232403,1.0725861076746994,1.824582634042022,-0.027750219336964123,-0.06626294847879108,-0.5940562689233302,/home/david/knows/rlic/data/bulk_analysis/XLE_orders_inv_ratio_regime.png
XLE,Energy,ppi_yoy,PPI YoY,-0.015041903846184868,0.7876962983823526,-11,-0.10742721810146874,1,0.353220733255867,False,-0.2519981176991304,-0.17365674446194945,-0.11505108978511128,0.3785782239384661,0.8516424363634385,0.4681844039581978,0.9413823455136777,-0.5940562689233302,/home/david/knows/rlic/data/bulk_analysis/XLE_ppi_yoy_regime.png
